[epoch 0]train-acc:0.425 train-loss:1.58  test-acc:0.3251 test-loss:1.98
[epoch 1]train-acc:0.5048 train-loss:1.39  test-acc:0.215 test-loss:2.63
[epoch 2]train-acc:0.5312 train-loss:1.34  test-acc:0.2873 test-loss:2.62
[epoch 3]train-acc:0.5541 train-loss:1.28  test-acc:0.4138 test-loss:1.87
[epoch 4]train-acc:0.5715 train-loss:1.25  test-acc:0.1241 test-loss:5.16
[epoch 5]train-acc:0.5832 train-loss:1.23  test-acc:0.244 test-loss:2.64
[epoch 6]train-acc:0.5892 train-loss:1.21  test-acc:0.2185 test-loss:3.39
[epoch 7]train-acc:0.5965 train-loss:1.2  test-acc:0.2538 test-loss:2.74
[epoch 8]train-acc:0.6035 train-loss:1.19  test-acc:0.201 test-loss:3.82
[epoch 9]train-acc:0.5992 train-loss:1.2  test-acc:0.1882 test-loss:2.74
[epoch 10]train-acc:0.593 train-loss:1.22  test-acc:0.2266 test-loss:3.13
[epoch 11]train-acc:0.593 train-loss:1.22  test-acc:0.1 test-loss:7.51
[epoch 12]train-acc:0.5996 train-loss:1.21  test-acc:0.1764 test-loss:4.04
[epoch 13]train-acc:0.597 train-loss:1.22  test-acc:0.1006 test-loss:6.07
[epoch 14]train-acc:0.5984 train-loss:1.22  test-acc:0.2091 test-loss:2.64
[epoch 15]train-acc:0.5981 train-loss:1.22  test-acc:0.2409 test-loss:2.55
[epoch 16]train-acc:0.5969 train-loss:1.21  test-acc:0.2297 test-loss:2.6
[epoch 17]train-acc:0.5852 train-loss:1.25  test-acc:0.1001 test-loss:3.93
[epoch 18]train-acc:0.5762 train-loss:1.28  test-acc:0.13 test-loss:4.07
[epoch 19]train-acc:0.5767 train-loss:1.27  test-acc:0.1356 test-loss:4.21
[epoch 20]train-acc:0.5875 train-loss:1.25  test-acc:0.0995 test-loss:3.32
[epoch 21]train-acc:0.5871 train-loss:1.24  test-acc:0.2957 test-loss:2.46
[epoch 22]train-acc:0.5879 train-loss:1.24  test-acc:0.1001 test-loss:6.47
[epoch 23]train-acc:0.5899 train-loss:1.24  test-acc:0.1003 test-loss:5.83
[epoch 24]train-acc:0.5872 train-loss:1.24  test-acc:0.1371 test-loss:5.77
[epoch 25]train-acc:0.5841 train-loss:1.25  test-acc:0.1041 test-loss:6.68
[epoch 26]train-acc:0.5826 train-loss:1.26  test-acc:0.1029 test-loss:5.28
[epoch 27]train-acc:0.5693 train-loss:1.3  test-acc:0.1216 test-loss:3.34
[epoch 28]train-acc:0.5731 train-loss:1.29  test-acc:0.1094 test-loss:6.0
[epoch 29]train-acc:0.579 train-loss:1.26  test-acc:0.1 test-loss:6.94
[epoch 30]train-acc:0.574 train-loss:1.28  test-acc:0.1 test-loss:5.81
[epoch 31]train-acc:0.5781 train-loss:1.27  test-acc:0.1383 test-loss:3.72
[epoch 32]train-acc:0.5781 train-loss:1.26  test-acc:0.1034 test-loss:5.38
[epoch 33]train-acc:0.5739 train-loss:1.28  test-acc:0.1264 test-loss:3.07
[epoch 34]train-acc:0.5831 train-loss:1.26  test-acc:0.1005 test-loss:4.11
[epoch 35]train-acc:0.5837 train-loss:1.25  test-acc:0.1215 test-loss:2.85
[epoch 36]train-acc:0.5782 train-loss:1.26  test-acc:0.1123 test-loss:4.32
[epoch 37]train-acc:0.5651 train-loss:1.31  test-acc:0.1068 test-loss:3.97
[epoch 38]train-acc:0.56 train-loss:1.32  test-acc:0.1001 test-loss:3.48
[epoch 39]train-acc:0.5662 train-loss:1.3  test-acc:0.1691 test-loss:4.93
[epoch 40]train-acc:0.5616 train-loss:1.31  test-acc:0.103 test-loss:9.19
[epoch 41]train-acc:0.557 train-loss:1.33  test-acc:0.1482 test-loss:4.6
[epoch 42]train-acc:0.5664 train-loss:1.3  test-acc:0.1378 test-loss:3.08
[epoch 43]train-acc:0.5697 train-loss:1.28  test-acc:0.1123 test-loss:4.05
[epoch 44]train-acc:0.5722 train-loss:1.28  test-acc:0.1275 test-loss:3.62
[epoch 45]train-acc:0.5674 train-loss:1.29  test-acc:0.1754 test-loss:3.86
[epoch 46]train-acc:0.5731 train-loss:1.28  test-acc:0.1109 test-loss:5.04
[epoch 47]train-acc:0.5633 train-loss:1.31  test-acc:0.1323 test-loss:5.43
[epoch 48]train-acc:0.5237 train-loss:1.42  test-acc:0.1347 test-loss:2.92
[epoch 49]train-acc:0.5116 train-loss:1.45  test-acc:0.1 test-loss:4.59
[epoch 50]train-acc:0.5173 train-loss:1.42  test-acc:0.0989 test-loss:3.05
[epoch 51]train-acc:0.4829 train-loss:1.52  test-acc:0.1 test-loss:4.27
[epoch 52]train-acc:0.5363 train-loss:1.37  test-acc:0.1001 test-loss:4.16
[epoch 53]train-acc:0.5294 train-loss:1.38  test-acc:0.1741 test-loss:2.95
[epoch 54]train-acc:0.5248 train-loss:1.4  test-acc:0.1155 test-loss:4.56
